Date,Price,Open,High,Low,Vol.,Change %
8/13/2021,137.73,137.25,137.86,137.03,15.95M,0.39%
8/12/2021,137.19,135.98,137.3,135.43,16.52M,0.67%
8/11/2021,136.28,137.18,137.68,136.27,15.35M,-0.39%
8/10/2021,136.81,137.34,137.77,136.36,19.41M,-0.08%
8/9/2021,136.91,135.94,137.18,135.34,17.77M,0.87%
8/6/2021,135.74,136.04,136.47,135.21,20.49M,-0.38%
8/5/2021,136.25,135.68,136.35,134.85,17.87M,0.83%
8/4/2021,135.13,135.35,135.65,134.49,19.68M,-0.37%
8/3/2021,135.63,135.13,135.73,133.32,20.76M,0.58%
8/2/2021,134.85,135.12,135.34,133.79,21.63M,0.10%
7/30/2021,134.73,135.04,135.3,134.26,25.58M,-0.77%
7/29/2021,135.78,136.15,136.66,135.54,31.72M,-0.23%
7/28/2021,136.09,136.31,138.3,135.28,95.13M,3.18%
7/27/2021,131.9,134.25,134.4,130.1,54.71M,-1.59%
7/26/2021,134.04,133.33,134.24,132.3,30.57M,0.77%
7/23/2021,133.01,130.43,133.4,129.8,41.51M,3.58%
7/22/2021,128.42,127.84,128.48,127.5,14.30M,0.68%
7/21/2021,127.55,126.13,127.6,126.02,20.75M,1.06%
7/20/2021,126.21,125.53,127.04,124.35,26.32M,1.31%
7/19/2021,124.58,126.09,126.21,123.5,27.97M,-1.88%
7/16/2021,126.97,127.66,127.81,126.15,20.42M,-0.03%
7/15/2021,127,128.65,128.7,126.53,24.22M,-0.96%
7/14/2021,128.24,127.96,129.33,127.91,23.75M,0.70%
7/13/2021,127.34,127.04,128.06,126.67,19.25M,0.29%
7/12/2021,126.98,126.18,127.07,125.61,17.67M,1.16%
7/9/2021,125.52,125.03,125.73,124.55,18.63M,0.38%
7/8/2021,125.04,124.03,125.6,124.02,23.79M,-1.13%
7/7/2021,126.47,127.16,127.28,126.15,24.06M,0.23%
7/6/2021,126.19,125.65,126.43,124.58,26.40M,0.74%
7/2/2021,125.26,123.15,125.4,123.06,26.00M,2.30%
7/1/2021,122.44,121.72,122.59,121.53,18.11M,0.29%
6/30/2021,122.09,121.99,122.26,121.35,24.47M,-0.15%
6/29/2021,122.27,122.67,123.02,121.69,23.11M,-0.22%
6/28/2021,122.54,122.68,122.78,121.41,28.53M,0.02%
6/25/2021,122.51,122,122.63,121.57,34.60M,0.01%
6/24/2021,122.5,122.7,123.06,122.3,21.37M,0.31%
6/23/2021,122.13,122.09,123.1,121.83,19.15M,-0.17%
6/22/2021,122.33,121.75,122.4,121.06,22.39M,0.43%
6/21/2021,121.81,120.5,122,119.9,27.41M,1.42%
